FileName,SubvolumeCenter_xyz,Vector_u,Vector_v,Vector_w
training1.tiff,"(50, 50, 0)",0.914288165872493,-0.405064377285282,0
training1.tiff,"(50, 100, 0)",0.867366768559282,-0.49766945737008,0
training1.tiff,"(50, 150, 0)",0.97780241407741,-0.209529088730873,0
training1.tiff,"(50, 200, 0)",1,0,0
training1.tiff,"(50, 250, 0)",0.996703768233982,0.081127050902766,0
training1.tiff,"(50, 300, 0)",0.970142500145332,0.242535625036333,0
training1.tiff,"(50, 350, 0)",0.955523587895542,-0.294914687622081,0
training1.tiff,"(100, 50, 0)",0.78086880944303,-0.624695047554424,0
training1.tiff,"(100, 100, 0)",0.969230769230769,-0.246153846153846,0
training1.tiff,"(100, 150, 0)",0.998416781116735,-0.056248832738971,0
training1.tiff,"(100, 200, 0)",0.977802414077409,-0.209529088730874,0
training1.tiff,"(100, 250, 0)",0.986045635560713,-0.166475237172588,0
training1.tiff,"(100, 300, 0)",0.996815278536125,0.07974522228289,0
training1.tiff,"(100, 350, 0)",0.953400096931815,-0.301708891434119,0
training1.tiff,"(150, 50, 0)",0.98058067569092,-0.196116135138184,0
training1.tiff,"(150, 100, 0)",0.910366477462605,-0.413802944301184,0
training1.tiff,"(150, 150, 0)",0.834609406561725,-0.550842208330738,0
training1.tiff,"(150, 200, 0)",0.990444760519417,-0.137910029945742,0
training1.tiff,"(150, 250, 0)",0.958536356279054,-0.284970268082961,0
training1.tiff,"(150, 300, 0)",0.967617272396844,-0.252421897147003,0
training1.tiff,"(150, 350, 0)",0.944496796706159,-0.328520624941273,0
training1.tiff,"(200, 50, 0)",0.984957024646314,-0.172799478008126,0
training1.tiff,"(200, 100, 0)",0.861207462694719,-0.508253584541146,0
training1.tiff,"(200, 150, 0)",0.961523947640823,-0.274721127897378,0
training1.tiff,"(200, 200, 0)",0.950309027802087,-0.311308129797236,0
training1.tiff,"(200, 250, 0)",0.944673664234786,-0.328011688970411,0
training1.tiff,"(200, 300, 0)",0.92764351793755,-0.373466870857975,0
training1.tiff,"(200, 350, 0)",0.926739268223405,-0.375705108739219,0
